station_id,n_bins,true_mean,pred_no_imd_mean,pred_imd_mean,true_total,pred_no_imd_total,pred_imd_total,fold
OK-L8,2666,1.2888222055513878,2.020947328400116,1.562767532065015,3436,5387.8455775147095,4166.33824048533,2
OK-M14,334,1.0868263473053892,1.9470705544654432,1.2758199181960321,363,650.321565191458,426.12385267747476,2
OK-M3,1066,1.096622889305816,1.9769429470917224,1.2073566769560153,1169,2107.421181599776,1287.0422176351124,2
OK-N1,10167,1.739844595259172,1.9964284523731333,1.4224622195857766,17689,20297.688075277645,14462.173386528591,2
OK-N5,3684,1.4117806731813247,2.1231413855580095,1.6844809090990245,5201,7821.652864395706,6205.627669120806,2
SF-A11,6211,3.706810497504428,2.0168021910399525,1.4289922108425375,23023,12526.358408549146,8875.470621543,2
SF-A25,17504,2.853404936014625,1.914732709746601,2.263407902444606,49946,33515.4813514045,39618.69192439038,2
SF-B22,15059,2.5016269340593666,1.9303871885339232,1.7242572257009363,37672,29069.70067213235,25965.5895618304,2
SF-B28,11503,2.198643832043815,1.9901565052194037,2.4701874361357703,25291,22892.7702795388,28414.566077869767,2
SF-C14,5222,1.4785522788203753,2.0429309188536084,1.6720849056139828,7721,10668.185258253543,8731.627377116218,2
SF-C18,13158,2.334245326037392,1.9282949039644979,1.5119585008675223,30714,25372.50434636486,19894.349954414858,2
SF-C21,14016,2.1388413242009134,1.9321113299771295,1.9870372493409891,29978,27080.472400959447,27850.314086763305,2
SF-C22,16736,2.5149378585086044,1.8852493180898364,1.6690446947793334,42090,31551.5325875515,27933.132011826925,2
SF-C26-1,18571,2.2735986215066504,1.8460049251923822,2.02847218324807,42223,34282.15746574773,37670.756915099904,2
SF-C28-2,10637,1.9052364388455392,1.9806938361541915,1.904982386391091,20266,21068.640335172135,20263.297644042035,2
SF-D27-2,12131,1.8606874948479104,1.9371647247096322,2.222774375418175,22572,23499.745275452548,26964.47594819788,2
SF-D29,17231,3.481167662933086,1.9546579581387926,2.031549025615461,59984,33680.71127668954,35005.62126038001,2
